,baseMean,log2FoldChange,lfcSE,pvalue,padj
NA,NA,NA,NA,NA,NA
Glyma07g06710,6.514117203,-1.02E-06,0.001442693,0.437730795,0.730356504
NA.1,NA,NA,NA,NA,NA
Glyma14g07700,300.7332623,-1.28E-06,0.001442669,0.600263656,0.833417564
NA.2,NA,NA,NA,NA,NA
NA.3,NA,NA,NA,NA,NA
Glyma17g08660,91.66264899,-4.13E-06,0.001442687,0.041199602,0.224260849
NA.4,NA,NA,NA,NA,NA
Glyma05g04020,72.40933083,-9.89E-06,0.001442651,0.082412849,0.326745431
Glyma06g17940,346.696597,1.73E-06,0.001442645,0.414878107,0.713958953
Glyma10g08210,234.6370888,1.74E-06,0.001442691,0.003342699,0.04628213
NA.5,NA,NA,NA,NA,NA
NA.6,NA,NA,NA,NA,NA
NA.7,NA,NA,NA,NA,NA
Glyma17g03840,12.17550615,3.06E-06,0.001442689,0.18801823,0.49496431
Glyma17g03710,213.3630281,-1.46E-05,0.001442672,0.06277168,0.282879107
Glyma09g02220,0.566362188,-6.19E-07,0.001442694,0.395968027,NA
NA.8,NA,NA,NA,NA,NA
NA.9,NA,NA,NA,NA,NA
NA.10,NA,NA,NA,NA,NA
NA.11,NA,NA,NA,NA,NA
Glyma15g13640,262.6845903,-1.14E-06,0.001442676,0.747113579,0.907555622
Glyma15g12850,115.8038947,-1.51E-05,0.001442721,0.918779558,0.976253829
Glyma02g07200,221.2107021,1.23E-05,0.001442675,0.198127461,0.507835098
NA.12,NA,NA,NA,NA,NA
NA.13,NA,NA,NA,NA,NA
NA.14,NA,NA,NA,NA,NA
Glyma08g22610,11.42264193,2.49E-05,0.0014428,0.015790796,0.125736516
Glyma08g16220,117.6130457,-9.63E-07,0.001442684,0.5579851,0.809617911
Glyma08g12460,310.7058423,2.30E-06,0.00144269,0.271096134,0.589210481
NA.15,NA,NA,NA,NA,NA
Glyma12g16720,0.897020779,1.13E-06,0.001442695,0.083705159,NA
Glyma16g00320,9.110131676,-4.76E-06,0.001442691,0.04707822,0.241940907
Glyma16g04160,190.4888541,8.11E-06,0.001442657,0.1770063,0.479991645
Glyma10g02390,50.64424833,1.26E-06,0.001442659,0.072592989,0.30540369
NA.16,NA,NA,NA,NA,NA
NA.17,NA,NA,NA,NA,NA
Glyma02g14990,17.65264545,1.06E-05,0.001442701,0.099967293,0.362332748
NA.18,NA,NA,NA,NA,NA
NA.19,NA,NA,NA,NA,NA
Glyma20g01210,6.136167865,6.09E-07,0.001442692,0.681882189,0.876815328
NA.20,NA,NA,NA,NA,NA
Glyma14g10600,111.3988141,-7.12E-06,0.001442689,0.029220533,0.183218146
NA.21,NA,NA,NA,NA,NA
Glyma08g18650,15.24500155,3.94E-06,0.001442686,0.175522162,0.478157052
